"Name","Department","Would Take Again","Level of Difficulty","Total Ratings","Overall Quality","College"
"Pak, Sheri ","Classics","N/A","3.8","12","2.0","UNC"
"Wiss, F. Charles ","Psychology","","2.1","48","3.6","UNC"
"Evans, Charles Ross ","Physics & Astronomy","N/A","4.0","3","4.8","UNC"
"Volaric, Lisa ","Chemistry","N/A","4.4","17","2.4","UNC"
"Singh, Abhishek ","Computer Science","N/A","3.0","4","1.5","UNC"
"Fisher, Dominique ","Languages","N/A","2.0","5","4.0","UNC"
"Wegel, Christina ","German","","2.7","16","4.9","UNC"
"Lich-Tyler, Stephen ","Economics","","3.4","57","4.0","UNC"
"Santos, Regina ","Languages","N/A","1.3","3","4.5","UNC"
"Jack, Jordynn ","English","N/A","2.3","4","3.5","UNC"
"Zhao, Longhua ","Mathematics","N/A","3.0","9","3.6","UNC"
"Becker, Misha ","Linguistics","","3.1","24","3.8","UNC"
"Lee, Wayne ","History","","3.4","19","4.5","UNC"
"Bordner, Seth ","Philosophy","N/A","2.7","3","4.5","UNC"
"Herdandez, John ","Physics & Astronomy","N/A","5.0","4","1.8","UNC"
"Dolan, Louise ","Physics & Astronomy","N/A","2.4","5","1.6","UNC"
"Winston, Mark ","Information Science","N/A","3.0","4","1.0","UNC"
"Perrin, Andrew ","Sociology","","3.1","21","2.8","UNC"
"Williams, Roy ","Physical Education","N/A","1.0","7","5.0","UNC"
"Ghosh, Pika ","Asian Studies","N/A","2.5","6","2.9","UNC"
"Arpen, Kate ","Asian Studies","N/A","1.0","2","5.0","UNC"
"Kim, Seon Joo ","Computer Science","N/A","4.0","1","2.5","UNC"
"Lucas, Richard ","Psychology","N/A","2.3","4","3.5","UNC"
"Sabo, Brad ","Philosophy","N/A","3.0","1","4.0","UNC"
"Johnson, K ","Languages","N/A","1.0","1","2.0","UNC"
"Adams, Ashlee ","English","N/A","4.0","4","2.9","UNC"
"Frampton, Paul ","Physics & Astronomy","N/A","2.6","8","1.6","UNC"
"Surge, Donna ","Geology","N/A","2.9","9","3.6","UNC"
"DeGuzman, Maria ","English","N/A","2.9","10","4.7","UNC"
"Gold, Rachelle ","English","N/A","3.3","3","3.3","UNC"
"Erlien, Christine ","Geography","N/A","3.0","1","4.5","UNC"
"Mapes, Russell ","Geology","N/A","2.3","3","4.5","UNC"
"Angelone, Anita ","Languages","N/A","3.0","1","4.5","UNC"
"Wogen, Warren ","Mathematics","N/A","4.2","5","3.0","UNC"
"D'Amore, Maura ","English","N/A","2.0","4","4.8","UNC"
"Sabo, Dylan ","Philosophy","N/A","1.0","1","4.0","UNC"
"Chandler, Keri ","Languages","N/A","2.7","3","3.5","UNC"
"Foreman, Elizabeth ","Philosophy","","","","","UNC"
"Wolfram, Elizabeth ","Languages","N/A","1.0","1","5.0","UNC"
"Reilly, Matthew ","Geography","N/A","2.3","8","3.4","UNC"
"Lee, Lance ","Languages","N/A","3.5","2","4.3","UNC"
"Harrell, Waverly ","English","N/A","1.5","2","4.3","UNC"
"Scarry, Margaret ","Anthropology","N/A","2.6","8","2.9","UNC"
"Servedio, Maria ","Biology","N/A","3.9","15","3.2","UNC"
"Lachicotte, William ","Anthropology","N/A","2.0","1","4.5","UNC"
"Hart, Sharon ","Art","N/A","3.0","1","4.5","UNC"
"Powell, Jeremy ","Communication Studies","N/A","3.0","1","5.0","UNC"
"Spinner-Halev, Jeff ","Political Science","","4.0","21","3.5","UNC"
"Judge, Abigail ","Psychology","N/A","3.0","1","5.0","UNC"
"Perez, Carmen ","Languages","N/A","2.8","16","4.3","UNC"
"Lundblad, Chris ","Finance","N/A","3.0","1","5.0","UNC"
"Tsin, Michael ","History","N/A","3.2","7","3.3","UNC"
"Cotton, Kendra ","Political Science","N/A","2.7","3","4.7","UNC"
"Carpentier, Francesca ","Journalism","N/A","3.0","3","5.0","UNC"
"Chandler, Brian ","Languages","N/A","3.0","1","4.5","UNC"
"Whitt, Jackie ","History","","","","","UNC"
"Nedita, Codrin ","Economics","N/A","3.5","2","4.0","UNC"
"Aldridge, William ","Psychology","N/A","3.0","4","4.5","UNC"
"Greene, Elizabeth ","Classics","N/A","2.3","8","4.8","UNC"
"Lindsay, Sarah ","English","N/A","1.3","4","5.0","UNC"
"Colistra, Rita ","Journalism","N/A","3.0","1","5.0","UNC"
"Price, Terry ","Philosophy","N/A","2.0","1","3.0","UNC"
"Dwyer, Rex ","Languages","N/A","5.0","2","1.5","UNC"
"Chamberlin, Stacy ","Chemistry","N/A","4.0","17","3.7","UNC"
"Mukherjee, Debu ","Mathematics","N/A","3.0","2","3.3","UNC"
"Taj, Afroz ","Asian Studies","","2.1","12","3.5","UNC"
"Pipiras, Vladas ","Statistics","","3.7","18","2.7","UNC"
"Ezzell, Matthew ","Sociology","N/A","1.0","2","5.0","UNC"
"Lange, Marc ","Philosophy","N/A","3.5","8","3.1","UNC"
"Seccombe, Alexis ","Languages","N/A","1.6","5","5.0","UNC"
"Cash, Emily ","Art","N/A","4.0","1","4.5","UNC"
"Angulo, Esther ","Languages","N/A","2.0","1","4.5","UNC"
"Chasteen, John ","History","N/A","2.6","13","3.4","UNC"
"Pomerantz, Meg ","Exercise & Sport Science","N/A","1.0","2","2.3","UNC"
"Selander, Jacob ","Geology","N/A","2.0","1","4.0","UNC"
"Safi, Omid ","Religious Studies","N/A","3.5","18","4.1","UNC"
"Valoric, Lisa ","Chemistry","N/A","4.3","3","2.2","UNC"
"Piazza, Lisa ","Art","","","","","UNC"
"Li, YU ","Languages","N/A","1.0","1","5.0","UNC"
"Turner, Piers ","Philosophy","N/A","4.0","1","4.0","UNC"
"Lohr, Cynthia ","Education","","","","","UNC"
"Silver, Alexis ","Sociology","N/A","1.9","7","4.3","UNC"
"Burgoon, Jennifer ","Biology","N/A","3.0","2","5.0","UNC"
"Cai, Tianji ","Sociology","N/A","3.0","1","2.0","UNC"
"Graham-Squire, Adam ","Mathematics","N/A","4.0","2","4.0","UNC"
"Black, Stanley ","Economics","N/A","2.3","3","2.7","UNC"
"Alperin, Marc ","Marine Sciences","N/A","3.6","8","3.0","UNC"
"Ross, Heather ","English","N/A","1.4","5","4.7","UNC"
"Ginsberg, Raphael ","Communication Studies","N/A","3.0","2","3.0","UNC"
"Taylor, Kerry ","History","","","","","UNC"
"Harris, Rick ","Political Science","N/A","1.0","1","4.5","UNC"
"Renn, Jennifer ","Linguistics","N/A","2.2","6","4.8","UNC"
"Johnson, Naomi ","Communication Studies","N/A","2.0","1","5.0","UNC"
"Wood, Julia ","Communication Studies","N/A","3.3","3","4.7","UNC"
"Moore, Jason ","Geography","N/A","3.6","7","2.7","UNC"
"Grzimek, Volker ","Economics","N/A","3.0","2","5.0","UNC"
"Mastro, Julia ","Languages","N/A","2.7","3","4.2","UNC"
"Applegarth, Risa ","English","N/A","3.0","2","4.5","UNC"
"Boxill, Bernard ","Philosophy","N/A","2.7","3","3.7","UNC"
"Murray, Debra ","Exercise & Sport Science","","1.5","12","3.9","UNC"
"Jenkins, Brian ","Economics","N/A","2.2","5","3.7","UNC"
"Ware, William ","Education","N/A","3.6","5","2.9","UNC"
"Lee, Christopher ","History","N/A","3.6","8","3.6","UNC"
"Bartek, Lou ","Geology","N/A","4.8","19","1.7","UNC"
"Sahle, Eunice ","African-American Studies","N/A","4.0","10","2.5","UNC"
"Wagner-Martin, Linda ","English","N/A","1.6","5","4.1","UNC"
"Huyck, David ","Art","N/A","2.0","1","4.5","UNC"
"Shanahan, Mike ","Sociology","N/A","1.7","12","3.9","UNC"
"Bennett, Scott ","Geology","N/A","2.0","2","3.8","UNC"
"Pyeatt, Nicholas ","Political Science","N/A","3.5","2","4.3","UNC"
"Deason, Mary ","Political Science","N/A","3.0","1","5.0","UNC"
"Bailey, Terri ","Journalism","N/A","1.7","3","3.2","UNC"
"Engel, Jonathon ","Physics & Astronomy","N/A","3.6","8","3.5","UNC"
"Everhart, Sarah ","English","N/A","2.0","1","4.5","UNC"
"Bruder, Anne ","English","N/A","2.0","4","4.1","UNC"
"Mory, Jenna ","Languages","N/A","2.0","2","5.0","UNC"
"Rudinsky, Joyce ","Communication Studies","N/A","2.7","6","2.6","UNC"
"Branch, E ","English","N/A","2.5","2","3.8","UNC"
"Frost, David ","Philosophy","N/A","2.0","5","3.5","UNC"
"Lopes, Rodrigo ","Languages","N/A","3.5","2","1.0","UNC"
"Barr, Philippe ","Languages","N/A","3.5","2","4.5","UNC"
"Yousaf, Muhammad ","Chemistry","N/A","3.9","13","3.3","UNC"
"Rose, Jim ","Physics & Astronomy","N/A","3.0","5","4.0","UNC"
"Meyer, Will ","Anthropology","N/A","1.5","2","4.5","UNC"
"Olson, Daiwai ","Nursing","","","","","UNC"
"Connor, Carolyn ","Classics","N/A","4.0","1","4.0","UNC"
"Copenhaver, Greg ","Biology","N/A","3.6","5","3.4","UNC"
"Keeler, Daniel ","Physics & Astronomy","","","","","UNC"
"Wilson, Yolanda ","Philosophy","N/A","3.0","1","3.0","UNC"
"Najdek, Carl ","Political Science","N/A","3.0","5","4.0","UNC"
"Whittington, Dale ","Environmental Sci & Eng","N/A","3.5","2","3.3","UNC"
"Whitlow, Lisa ","Chemistry","N/A","3.6","14","2.0","UNC"
"Sammons, Ben ","English","N/A","1.7","3","4.7","UNC"
"Hare, Lawrence ","History","N/A","4.0","1","5.0","UNC"
"Jablonski, Mike ","Mathematics","N/A","3.5","2","3.3","UNC"
"Friedman, Giveret ","Languages","N/A","3.0","3","4.2","UNC"
"Zink, Alison ","Languages","N/A","4.0","1","4.0","UNC"
"Samei, Maija ","Asian Studies","N/A","4.0","1","4.5","UNC"
"Wolford, Wendy ","Geography","N/A","2.0","3","3.7","UNC"
"Treat, Stace ","Communication Studies","N/A","2.5","2","4.8","UNC"
"Deyneka, Alexandra ","Art","N/A","2.7","3","4.8","UNC"
"Rives, James ","Classics","","2.8","23","4.5","UNC"
"Payton, Andrew ","Sociology","N/A","2.5","2","3.8","UNC"
"Coyle, Erin ","Journalism","N/A","5.0","1","5.0","UNC"
"Hinds, Scott ","Economics","","","","","UNC"
"Ketch, James ","Music","N/A","3.0","4","3.9","UNC"
"Pataki, Gabor ","Statistics","","3.2","40","2.7","UNC"
"Chen, Yi-Hsiu ","Languages","N/A","3.0","1","5.0","UNC"
"Starkey, Kathryn ","German","N/A","2.3","4","4.5","UNC"
"Gravatt, Michelle ","Languages","","3.0","13","4.2","UNC"
"Van Dam, Hendrik ","Physics & Astronomy","","","","","UNC"
"Wightman, R. Mark ","Chemistry","N/A","2.3","3","3.8","UNC"
"Sullivan, Terry ","Political Science","N/A","3.2","8","4.2","UNC"
"Dawisha, Nadia ","Communication Studies","N/A","3.4","5","4.8","UNC"
"Bettin, Jade ","Dramatic Arts","N/A","2.9","17","3.9","UNC"
"Perry, Mark ","Dramatic Arts","","2.3","25","4.4","UNC"
"Hall, Leigh ","Education","N/A","3.3","8","2.3","UNC"
"Martinez, Robert ","English","N/A","3.7","3","4.3","UNC"
"Guinness, Katherine ","Art History","","2.6","8","4.8","UNC"
"Murray, Billie ","Communication Studies","N/A","2.0","1","5.0","UNC"
"Fuentes-Lima, Patricia ","Languages","","2.5","11","3.5","UNC"
"Armstrong, Gary ","Business","N/A","5.0","1","1.0","UNC"
"Lee, Chihoon ","Statistics","N/A","2.0","1","3.0","UNC"
"Danielewicz, Jane ","English","","3.6","13","4.8","UNC"
"Stimeling, Travis ","Music","N/A","2.0","1","4.5","UNC"
"Mooney, Margarita ","Sociology","N/A","3.3","3","4.7","UNC"
"Heitsch, Dorothea ","Languages","","2.2","12","4.7","UNC"
"Neff, Severine ","Music","N/A","2.1","8","3.8","UNC"
"Ripley, David ","Philosophy","N/A","2.5","2","5.0","UNC"
"Cherednik, Ivan ","Mathematics","N/A","2.5","12","2.6","UNC"
"Hutchins, Zach ","English","N/A","2.8","4","2.9","UNC"
"Magness, Scott ","Medicine","","","","","UNC"
"Benson, Richard ","German","N/A","3.5","2","3.8","UNC"
"Tibbo, Helen ","Information Science","N/A","4.0","2","2.0","UNC"
"Carroll, Craig ","Journalism","N/A","3.0","3","1.0","UNC"
"Mercogliano, Salvatore ","History","N/A","2.0","2","5.0","UNC"
"Cole, Richard ","Journalism","N/A","3.8","5","3.7","UNC"
"Mack, Julia ","Languages","N/A","2.9","11","2.8","UNC"
"Gallagher, Kathleen ","Education","N/A","3.0","1","5.0","UNC"
"Ignizio, Graham ","Languages","N/A","1.7","3","5.0","UNC"
"Anderson, Stephan ","Music","","2.4","19","4.0","UNC"
"Bapat, Navin ","Political Science","","3.3","41","3.3","UNC"
"Myers, Joseph ","Exercise & Sport Science","N/A","3.4","10","4.1","UNC"
"Vaidya, Ashwin ","Mathematics","N/A","3.7","3","3.0","UNC"
"Hiam, Jonathan ","Music","N/A","1.0","2","5.0","UNC"
"Bollmer, Grant ","Communication Studies","N/A","3.0","2","4.5","UNC"
"Femson, Chris ","Music","","","","","UNC"
"Bartz, Isobel ","Music","N/A","2.0","1","5.0","UNC"
"Callanan, Angela ","English","N/A","1.0","1","4.0","UNC"
"Abreu, Carlos ","Languages","N/A","2.0","7","4.7","UNC"
"Blackburn, J Troy ","Exercise & Sport Science","N/A","3.7","3","4.0","UNC"
"Shields, Tanya ","Women's Studies","","3.3","32","3.3","UNC"
"Schneider, Keith ","Mathematics","N/A","4.0","1","5.0","UNC"
"Roberts, Katherine ","Not Specified","N/A","4.0","2","2.5","UNC"
"Lee, Cal ","Information Science","N/A","4.0","3","3.1","UNC"
"Gaffney, Christopher ","International Studies","N/A","3.0","2","4.0","UNC"
"Baer, Tomas ","Chemistry","N/A","3.7","3","4.7","UNC"
"Lear, Darcy ","Languages","N/A","1.6","7","4.5","UNC"
"Koczkas, Anca ","Languages","N/A","3.3","3","3.7","UNC"
"Biglaiser, Gary ","Economics","N/A","4.0","2","2.8","UNC"
"Dominguez, Frank ","Languages","N/A","2.6","8","3.5","UNC"
"Gray, Clark ","Geography","N/A","2.5","4","4.1","UNC"
"Becker, Hilary ","Classics","N/A","1.0","1","5.0","UNC"
"Stott, William ","Environmental Sci & Eng","N/A","3.7","3","2.5","UNC"
"Passalacqua, Camille ","English","N/A","3.5","6","3.3","UNC"
"Katz, Mark ","Music","N/A","1.7","7","4.4","UNC"
"Morgan, Cameron ","Political Science","N/A","3.0","1","4.0","UNC"
"Dougherty, Jacqueline ","Languages","N/A","2.0","3","5.0","UNC"
"Battaglini, Becca ","Exercise & Sport Science","N/A","2.3","3","3.3","UNC"
"Malecek, Kayla ","Exercise & Sport Science","N/A","1.0","3","4.3","UNC"
"Williamson, Jennifer ","English","N/A","4.0","3","3.7","UNC"
"Ratliff, Alice ","Law","N/A","2.3","4","2.8","UNC"
"Brown, Caroline ","Law","N/A","4.0","2","2.8","UNC"
"Broun, Kenneth ","Law","N/A","2.0","1","5.0","UNC"
"Hazen, Thomas ","Law","N/A","2.3","3","4.8","UNC"
"Broome, Lissa ","Law","N/A","3.7","3","4.7","UNC"
"Pike, Brian ","Mathematics","N/A","4.0","2","2.0","UNC"
"Montgomerie, David ","Communication Studies","N/A","2.5","2","4.3","UNC"
"Willburn, Sarah ","English","N/A","4.0","1","3.5","UNC"
"Youngstrom, Eric ","Psychology","N/A","2.6","12","4.6","UNC"
"Coleman, Drew ","Geology","N/A","2.9","13","4.8","UNC"
"Esposito, Lori ","Art","","","","","UNC"
"Chi, Michael ","Psychology","N/A","2.0","1","5.0","UNC"
"Hunziker, Brandon ","History","N/A","3.1","14","4.3","UNC"
"Garman, Herb ","Dramatic Arts","N/A","1.0","3","5.0","UNC"
"Strong, Ken ","Dramatic Arts","N/A","1.9","44","4.3","UNC"
"Tyburski, David ","Business","N/A","1.0","1","4.5","UNC"
"Taylor, Elanor ","Philosophy","N/A","3.5","2","5.0","UNC"
"Casteel, Eric ","History","N/A","2.0","1","4.5","UNC"
"Naiden, Fred ","History","","3.7","23","3.0","UNC"
"Kuzniar, Alice ","German","N/A","3.0","2","3.0","UNC"
"Giosi, Elvira ","Languages","N/A","2.5","2","2.8","UNC"
"Kohn, Richard ","History","N/A","3.8","4","4.8","UNC"
"Yanping, Jin ","Asian Studies","N/A","2.0","1","5.0","UNC"
"Flores-Ruiz, Eva ","Languages","N/A","2.0","2","5.0","UNC"
"Fovargue, Daniel ","Mathematics","N/A","1.7","3","4.8","UNC"
"Thirumurthy, Harsha ","Health Administration","N/A","3.5","2","3.3","UNC"
"Lee, Margaret ","African-American Studies","N/A","3.4","12","2.8","UNC"
"Lavender, Andy ","Chemistry","","","","","UNC"
"Weakley, Alan ","Biology","N/A","3.7","9","4.2","UNC"
"Gaydos, Travis ","Statistics","N/A","5.0","1","2.0","UNC"
"Kinneer, Patty ","Journalism","N/A","2.0","1","1.0","UNC"
"Schoenfisch, Mark ","Chemistry","","2.9","14","4.0","UNC"
"Parreiras, Sergio ","Economics","N/A","2.6","10","3.0","UNC"
"Saenz, Carla ","Philosophy","N/A","3.0","1","5.0","UNC"
"Larroy, Amandine ","Languages","N/A","3.5","2","2.8","UNC"
"Pelto, Stewart ","Languages","N/A","3.0","1","5.0","UNC"
"Mattix, Micah ","English","N/A","3.0","5","4.7","UNC"
"Thornton, Daniel ","Languages","N/A","2.2","5","4.3","UNC"
"Fletcher, Joseph ","English","","2.5","36","4.8","UNC"
"Abramowitz, Jon ","Psychology","","2.1","11","4.7","UNC"
"Bell, Kristen ","Philosophy","N/A","3.0","1","5.0","UNC"
"McMahand, Donni ","English","N/A","3.0","2","5.0","UNC"
"Waddell, Stacy ","Art","N/A","4.5","2","1.0","UNC"
"Bledsoe, Sarah ","Social Work","N/A","2.0","2","4.5","UNC"
"Despard, Mat ","Social Work","N/A","3.0","2","4.5","UNC"
"Gold, Dan ","Asian Studies","N/A","4.0","1","2.0","UNC"
"Robinson, Peter ","Science","N/A","1.5","2","3.5","UNC"
"Hess, Jonathan ","German","","3.3","12","4.3","UNC"
"Sellar, Christian ","Geography","N/A","2.0","1","2.5","UNC"
"Churukian, Alice ","Physics & Astronomy","N/A","3.5","4","4.0","UNC"
"Brodey, Inger ","Asian Studies","N/A","3.4","9","4.3","UNC"
"Naumoff, Lawrence ","English","N/A","3.0","5","3.2","UNC"
"Collins, Holly ","Languages","N/A","5.0","2","1.5","UNC"
"Tolleson-Rinehart, Sue ","Public Policy","N/A","3.0","3","3.8","UNC"
"Del Valle Escalante, Emilio ","Languages","N/A","2.9","7","3.5","UNC"
"Gariepy, Jean-Louis ","Psychology","","3.9","20","3.1","UNC"
"Cohen, Philip ","Sociology","N/A","2.2","5","3.3","UNC"
"McLoyd, Vonnie ","Psychology","N/A","4.7","3","1.7","UNC"
"Koelb, Jan ","English","N/A","3.7","7","3.3","UNC"
"Menglekoch, Dustin ","English","N/A","2.0","1","4.0","UNC"
"Matthews, Helen ","Languages","","","","","UNC"
"Gwin, Minrose ","English","N/A","3.5","2","2.8","UNC"
"Bagley, Benjamin ","Philosophy","N/A","4.0","3","4.5","UNC"
"Mews, Siegfried ","German","","","","","UNC"
"Cowell, Glynis ","Spanish","N/A","2.7","6","4.9","UNC"
"Pryal, Katie ","English","N/A","3.3","4","4.3","UNC"
"Wieden, Anja ","German","N/A","2.4","5","4.4","UNC"
"Bowers, Angus ","Linguistics","N/A","1.5","2","4.8","UNC"
"Forer, Taj ","Art","N/A","2.0","1","4.5","UNC"
"Stevenson, Jennie ","Biology","N/A","3.0","1","5.0","UNC"
"Boyle, Brendan ","Classics","N/A","3.2","9","4.4","UNC"
"Hill, Jonathan ","Economics","N/A","4.5","2","3.0","UNC"
"De Brigard, Felipe ","Philosophy","N/A","2.8","4","4.0","UNC"
"Anderson, Daniel ","English","","2.0","13","4.8","UNC"
"Birkhofer, Meli ","English","","","","","UNC"
"Fisher, Rebecka ","English","N/A","4.2","10","3.5","UNC"
"Biener, Eric ","Physical Education","","","","","UNC"
"Van Ryn, Maria ","Sociology","N/A","4.0","10","3.8","UNC"
"Petranka, Jeremy ","Economics","N/A","3.3","20","4.6","UNC"
"Gokariksel, P ","Geography","N/A","3.0","5","3.6","UNC"
"Hooghe, Liesbet ","Political Science","","3.0","11","3.3","UNC"
"Hampton, Monte ","History","N/A","3.3","9","4.1","UNC"
"Fowler, Jacob ","Mathematics","N/A","2.7","7","3.8","UNC"
"Denison, Brandi ","Religion","N/A","4.0","1","4.0","UNC"
"Ries, Justin ","Marine Sciences","N/A","2.6","30","4.7","UNC"
"Mucha, Peter ","Mathematics","","3.7","9","4.3","UNC"
"McFarland, Katherine ","Sociology","N/A","2.5","6","2.3","UNC"
"Fuchs, Kristin ","Chemistry","N/A","3.8","6","3.0","UNC"
"Nickell, Paul ","Communication Studies","","","","","UNC"
"Laul, Parul ","Mathematics","N/A","4.4","8","2.8","UNC"
"Campo, Sandra ","Economics","N/A","4.8","5","1.4","UNC"
"Easley, Mary ","Law","","","","","UNC"
"Viator, Howard Preston ","Geology","N/A","2.0","5","4.7","UNC"
"Logan, Juan ","Art","N/A","2.3","4","3.8","UNC"
"Harper, Matt ","History","N/A","3.0","2","5.0","UNC"
"Estrada, Oswaldo ","Languages","N/A","2.8","12","4.5","UNC"
"Casado, Pablo ","Languages","N/A","5.0","1","4.5","UNC"
"Pojasek, Melissa ","English","N/A","2.9","9","3.9","UNC"
"Sanchez-Couto, Esther ","Spanish","N/A","3.2","5","2.5","UNC"
"Jensen, Erik ","Mathematics","N/A","3.4","5","1.6","UNC"
"Chiovoloni, Mark ","Philosophy","","","","","UNC"
"Rubinstein, Michael ","Chemistry","N/A","4.0","2","4.8","UNC"
"Sledge, Heath ","English","N/A","2.7","3","3.2","UNC"
"Martin, Melissa ","Music","N/A","3.0","3","5.0","UNC"
"Bendor, Todd ","Environmental Science","N/A","2.7","3","3.2","UNC"
"Huer, Kyung ","Spanish","","2.8","20","4.0","UNC"
"Otten, Thomas ","Piano","N/A","5.0","1","5.0","UNC"
"Paolantonio, Ed ","Music","N/A","2.8","5","3.5","UNC"
"Eagen, Megan ","Piano","","1.7","15","4.5","UNC"
"Arcus, David ","Music","","","","","UNC"
"Duenas, Corina ","Spanish","N/A","2.6","12","3.8","UNC"
"Barham, Robert ","English","N/A","1.5","2","5.0","UNC"
"Stewart, Vaughn ","English","N/A","2.7","9","4.4","UNC"
"Gramlisch, Ronald ","Naval Science","N/A","1.6","12","4.8","UNC"
"Guthman, Joshua ","History","","","","","UNC"
"Frost, Leslie ","English","","2.7","37","3.5","UNC"
"Kang, Emil ","Music","N/A","3.0","2","4.8","UNC"
"Browne, Caroline ","Psychology","","","","","UNC"
"Gyllstrom, Karl ","Computer Science","N/A","1.0","1","5.0","UNC"
"Hussong, Andrea ","Psychology","N/A","3.0","2","4.8","UNC"
"Ingraham, Jeremy ","Biology","N/A","1.8","6","4.8","UNC"
"Parkinson, Anna ","German","N/A","2.3","6","4.5","UNC"
"Daw, Jonathan ","Sociology","","","","","UNC"
"Wells, Amber ","Sociology","N/A","2.5","4","4.4","UNC"
"Gaddis, Michael ","Sociology","N/A","2.0","2","4.5","UNC"
"Rodgers, Sheilda ","Nursing","N/A","2.5","2","3.0","UNC"
"Alexanian, Erik ","Chemistry","N/A","3.3","11","3.2","UNC"
"O'Conner, Jonathan ","Spanish","N/A","2.5","2","4.8","UNC"
"Humphry, Ruth ","Allied Health","","","","","UNC"
"Steinberg, Anne ","Languages","N/A","3.3","3","3.7","UNC"
"Spurlock, Danielle ","Public Policy","N/A","4.0","4","2.4","UNC"
"Foster, Tol ","American Studies","N/A","3.4","7","2.3","UNC"
"Francis, Neville ","Economics","N/A","3.5","2","3.0","UNC"
"Cohen, Brigid ","Music","N/A","1.8","4","5.0","UNC"
"Kim, Wonmin ","Music","N/A","3.0","1","5.0","UNC"
"McLain, Kimowan ","Art","N/A","2.0","2","3.0","UNC"
"Heilbron, Nicole ","Psychology","N/A","3.3","8","4.4","UNC"
"Martindale, James ","Mathematics","N/A","3.0","2","3.3","UNC"
"Helms, John ","Mathematics","N/A","3.7","7","2.9","UNC"
"Christian, Matt ","Mathematics","N/A","3.3","3","3.5","UNC"
"Marsh, Sarah ","English","N/A","2.5","2","4.8","UNC"
"Krishna, Vijay ","Economics","N/A","3.5","6","2.6","UNC"
"Werk, Jan ","German","N/A","2.0","1","3.0","UNC"
"Shaeffer, Keith ","Spanish","N/A","3.0","3","4.3","UNC"
"Bruno, Elizabeth ","Spanish","N/A","2.6","9","4.0","UNC"
"Lloyd, Mollie ","Education","N/A","5.0","1","1.5","UNC"
"Johnson, Danielle ","English","","","","","UNC"
"Redeker, Chelsea ","English","N/A","2.4","8","4.9","UNC"
"Johnson, Amy ","Psychology","N/A","3.0","1","2.5","UNC"
"Freytag, Susanne ","German","N/A","3.0","1","4.5","UNC"
"Lazar, Andrea ","Sociology","N/A","2.4","5","4.2","UNC"
"Torres, Concepcion ","Languages","N/A","1.0","1","2.5","UNC"
"Maffly-Kipp, Laurie ","Religious Studies","N/A","3.0","1","4.5","UNC"
"Oakley, Tyler R ","Spanish","N/A","1.3","4","4.5","UNC"
"Crowder, Kyle ","Sociology","","","","","UNC"
"Charlton, Lisa ","Chemistry","N/A","4.3","4","2.1","UNC"
"Kannappan, Sheila ","Physics & Astronomy","","3.5","8","3.1","UNC"
"Mock, Che ","Exercise & Sport Science","N/A","1.7","3","5.0","UNC"
"Kaiser, Wilson ","English","N/A","2.3","4","4.8","UNC"
"Park, Jennifer ","English","N/A","2.0","10","4.6","UNC"
"Perry, Timothy ","Psychology","N/A","3.0","1","2.0","UNC"
"Luisetti, Federico ","Languages","N/A","4.0","1","4.5","UNC"
"Hall, Fred ","Physics & Astronomy","N/A","4.0","1","2.5","UNC"
"Veggian, Henry ","English","","2.7","28","3.8","UNC"
"Hill, Barrington ","Political Science","N/A","3.0","1","2.5","UNC"
"Corrado, Gail ","Public Policy","N/A","2.1","7","2.3","UNC"
"Saboo, Rohit ","Computer Science","N/A","2.7","6","3.3","UNC"
"Santhanakrishnan, Arvind ","Mathematics","N/A","3.0","4","4.3","UNC"
"Killgrove, Kristina ","Anthropology","N/A","2.0","2","4.8","UNC"
"Reese, Kevin ","Slavic Languages","","3.5","18","3.9","UNC"
"Oates, Christopher ","Computer Science","","","","","UNC"
"Palsha, Sharon ","Education","N/A","3.0","1","2.0","UNC"
"Mills, Luke ","English","N/A","2.0","2","5.0","UNC"
"Inazu, John ","Political Science","N/A","3.0","1","5.0","UNC"
"Schauer, Cynthi ","Chemistry","N/A","4.0","9","1.9","UNC"
"Wolf, Susan ","Philosophy","N/A","4.3","7","2.0","UNC"
"Radding, Cynthia ","History","N/A","3.2","10","2.8","UNC"
"Maisch, William ","Spanish","","2.8","12","3.6","UNC"
"Herman, Bernard ","American Studies","N/A","3.3","6","2.3","UNC"
"Hurlbert, Allen ","Biology","N/A","3.9","9","2.9","UNC"
"Humphrey, Christina ","German","N/A","2.0","3","4.7","UNC"
"Bradford, Ilouise ","English","","","","","UNC"
"Falkowski, Joseph ","Chemistry","N/A","3.3","3","4.8","UNC"
"Bowles, John ","Art","","1.6","16","4.4","UNC"
"McDonald, Trevy ","Journalism","N/A","1.3","4","3.2","UNC"
"Vernon, Zackary ","English","N/A","1.8","5","4.7","UNC"
"Bruno, John ","Biology","N/A","2.3","3","5.0","UNC"
"Conlon, Ian ","Sociology","N/A","3.0","3","5.0","UNC"
"Lin, Wei-Cheng ","Art","N/A","2.7","3","2.7","UNC"
"Meyers, Stephen ","Geology","N/A","1.5","2","3.3","UNC"
"Tomaskova, Silvia ","Women's Studies","","3.4","14","3.2","UNC"
"Van Ochten, Kelly ","Mathematics","","","","","UNC"
"Medina, Paul ","Biological Sciences","","","","","UNC"
"Poplawska, Marzanna ","Music","N/A","3.5","4","1.9","UNC"
"Sharma, Andy ","Public Policy","N/A","4.0","3","2.7","UNC"
